country,flag_URL
Guyana,https://countryflagsapi.com/png/Guyana
Mauritania,https://countryflagsapi.com/png/Mauritania
Rhodesia,https://countryflagsapi.com/png/Rhodesia
Saudi Arabia,https://countryflagsapi.com/png/Saudi Arabia
Eswatini,https://countryflagsapi.com/png/Eswatini
Mozambique,https://countryflagsapi.com/png/Mozambique
Papua New Guinea,https://countryflagsapi.com/png/Papua New Guinea
Bahrain,https://countryflagsapi.com/png/Bahrain
Lesotho,https://countryflagsapi.com/png/Lesotho
Somalia,https://countryflagsapi.com/png/Somalia
Zaïre,https://countryflagsapi.com/png/Zaïre
Sri Lanka,https://countryflagsapi.com/png/Sri Lanka
Antigua and Barbuda,https://countryflagsapi.com/png/Antigua and Barbuda
Faroe Islands,https://countryflagsapi.com/png/Faroe Islands
Qatar,https://countryflagsapi.com/png/Qatar
Yemen DPR,https://countryflagsapi.com/png/Yemen DPR
Burundi,https://countryflagsapi.com/png/Burundi
Guam,https://countryflagsapi.com/png/Guam
Chad,https://countryflagsapi.com/png/Chad
Angola,https://countryflagsapi.com/png/Angola
Dominican Republic,https://countryflagsapi.com/png/Dominican Republic
Seychelles,https://countryflagsapi.com/png/Seychelles
São Tomé and Príncipe,https://countryflagsapi.com/png/São Tomé and Príncipe
Botswana,https://countryflagsapi.com/png/Botswana
Benin,https://countryflagsapi.com/png/Benin
Rwanda,https://countryflagsapi.com/png/Rwanda
Bangladesh,https://countryflagsapi.com/png/Bangladesh
United Arab Emirates,https://countryflagsapi.com/png/United Arab Emirates
Zimbabwe,https://countryflagsapi.com/png/Zimbabwe
Oman,https://countryflagsapi.com/png/Oman
Equatorial Guinea,https://countryflagsapi.com/png/Equatorial Guinea
Cape Verde,https://countryflagsapi.com/png/Cape Verde
Liechtenstein,https://countryflagsapi.com/png/Liechtenstein
Nepal,https://countryflagsapi.com/png/Nepal
Greenland,https://countryflagsapi.com/png/Greenland
Vanuatu,https://countryflagsapi.com/png/Vanuatu
Western Samoa,https://countryflagsapi.com/png/Western Samoa
Belize,https://countryflagsapi.com/png/Belize
Brunei,https://countryflagsapi.com/png/Brunei
Djibouti,https://countryflagsapi.com/png/Djibouti
Burkina Faso,https://countryflagsapi.com/png/Burkina Faso
Yemen AR,https://countryflagsapi.com/png/Yemen AR
Anguilla,https://countryflagsapi.com/png/Anguilla
Nicaragua,https://countryflagsapi.com/png/Nicaragua
Cayman Islands,https://countryflagsapi.com/png/Cayman Islands
Monaco,https://countryflagsapi.com/png/Monaco
Solomon Islands,https://countryflagsapi.com/png/Solomon Islands
Sint Maarten,https://countryflagsapi.com/png/Sint Maarten
Namibia,https://countryflagsapi.com/png/Namibia
Saint Martin,https://countryflagsapi.com/png/Saint Martin
San Marino,https://countryflagsapi.com/png/San Marino
Slovenia,https://countryflagsapi.com/png/Slovenia
Moldova,https://countryflagsapi.com/png/Moldova
Ukraine,https://countryflagsapi.com/png/Ukraine
Kazakhstan,https://countryflagsapi.com/png/Kazakhstan
Tajikistan,https://countryflagsapi.com/png/Tajikistan
Uzbekistan,https://countryflagsapi.com/png/Uzbekistan
Turkmenistan,https://countryflagsapi.com/png/Turkmenistan
Georgia,https://countryflagsapi.com/png/Georgia
Kyrgyzstan,https://countryflagsapi.com/png/Kyrgyzstan
Armenia,https://countryflagsapi.com/png/Armenia
Belarus,https://countryflagsapi.com/png/Belarus
Guernsey,https://countryflagsapi.com/png/Guernsey
Azerbaijan,https://countryflagsapi.com/png/Azerbaijan
North Macedonia,https://countryflagsapi.com/png/North Macedonia
Jersey,https://countryflagsapi.com/png/Jersey
Montserrat,https://countryflagsapi.com/png/Montserrat
Gibraltar,https://countryflagsapi.com/png/Gibraltar
Myanmar,https://countryflagsapi.com/png/Myanmar
Bosnia and Herzegovina,https://countryflagsapi.com/png/Bosnia and Herzegovina
Tonga,https://countryflagsapi.com/png/Tonga
Andorra,https://countryflagsapi.com/png/Andorra
Yemen,https://countryflagsapi.com/png/Yemen
United States Virgin Islands,https://countryflagsapi.com/png/United States Virgin Islands
Palau,https://countryflagsapi.com/png/Palau
Cook Islands,https://countryflagsapi.com/png/Cook Islands
British Virgin Islands,https://countryflagsapi.com/png/British Virgin Islands
Eritrea,https://countryflagsapi.com/png/Eritrea
Bahamas,https://countryflagsapi.com/png/Bahamas
Micronesia,https://countryflagsapi.com/png/Micronesia
Maldives,https://countryflagsapi.com/png/Maldives
Laos,https://countryflagsapi.com/png/Laos
Isle of Man,https://countryflagsapi.com/png/Isle of Man
Samoa,https://countryflagsapi.com/png/Samoa
Bhutan,https://countryflagsapi.com/png/Bhutan
Serbia and Montenegro,https://countryflagsapi.com/png/Serbia and Montenegro
Mayotte,https://countryflagsapi.com/png/Mayotte
Mongolia,https://countryflagsapi.com/png/Mongolia
Northern Cyprus,https://countryflagsapi.com/png/Northern Cyprus
Serbia,https://countryflagsapi.com/png/Serbia
Montenegro,https://countryflagsapi.com/png/Montenegro
Northern Mariana Islands,https://countryflagsapi.com/png/Northern Mariana Islands
Comoros,https://countryflagsapi.com/png/Comoros
Turks and Caicos Islands,https://countryflagsapi.com/png/Turks and Caicos Islands
South Sudan,https://countryflagsapi.com/png/South Sudan
Kosovo,https://countryflagsapi.com/png/Kosovo
East Timor,https://countryflagsapi.com/png/East Timor
Tahiti,https://countryflagsapi.com/png/Tahiti
