team,flag_URL,acronysm,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022
Italy,https://countryflagsapi.com/png/Italy,UEFA ,0.0,15.0,31.0,38.0,51.0,0.0,56.0,60.0,78.0,87.0,102.0,120.0,131.0,143.0,156.0,167.0,177.0,191.0,200.0,205.0,0.0,0.0
Ivory Coast,https://countryflagsapi.com/png/Ivory Coast,WAFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,27.0,0.0,0.0
Jamaica,https://countryflagsapi.com/png/Jamaica,CFU ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,https://countryflagsapi.com/png/Kuwait,KUW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,https://countryflagsapi.com/png/Mexico,NAFU ,17.0,0.0,0.0,29.0,39.0,48.0,55.0,59.0,69.0,0.0,83.0,0.0,91.0,0.0,99.0,114.0,122.0,132.0,141.0,149.0,158.0,163.0
Morocco,https://countryflagsapi.com/png/Morocco,UNAF ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,36.0,41.0
Netherlands,https://countryflagsapi.com/png/Netherlands,UEFA ,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,51.0,0.0,0.0,58.0,72.0,92.0,0.0,97.0,115.0,134.0,0.0,144.0
New Zealand,https://countryflagsapi.com/png/New Zealand,OFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Nigeria,https://countryflagsapi.com/png/Nigeria,WAFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,30.0,0.0,38.0,46.0,53.0,0.0
Norway,https://countryflagsapi.com/png/Norway,UEFA ,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,https://countryflagsapi.com/png/Panama,UNCAF ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Paraguay,https://countryflagsapi.com/png/Paraguay,CONMEBOL,4.0,0.0,0.0,10.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,46.0,59.0,63.0,68.0,0.0,0.0,0.0
Peru,https://countryflagsapi.com/png/Peru,CONMEBOL,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,42.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
Poland,https://countryflagsapi.com/png/Poland,UEFA ,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,60.0,68.0,0.0,0.0,0.0,78.0,84.0,0.0,0.0,91.0,99.0
Portugal,https://countryflagsapi.com/png/Portugal,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,41.0,53.0,61.0,72.0,84.0,101.0
Qatar,https://countryflagsapi.com/png/Qatar,QAT ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Republic of Ireland,https://countryflagsapi.com/png/Republic of Ireland,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Romania,https://countryflagsapi.com/png/Romania,UEFA ,8.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,36.0,55.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,https://countryflagsapi.com/png/Russia,UEFA ,0.0,0.0,0.0,0.0,0.0,11.0,27.0,43.0,51.0,0.0,0.0,62.0,79.0,87.0,100.0,0.0,108.0,0.0,0.0,113.0,131.0,0.0
Saudi Arabia,https://countryflagsapi.com/png/Saudi Arabia,KSA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,32.0,41.0,0.0,0.0,50.0,58.0
Scotland,https://countryflagsapi.com/png/Scotland,UEFA ,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,22.0,33.0,49.0,53.0,58.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,https://countryflagsapi.com/png/Senegal,WAFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0,33.0
Serbia,https://countryflagsapi.com/png/Serbia,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,26.0,0.0,32.0,45.0
